PMID,Sentence,label
34637950,"Exercise-based rehabilitation is a safe and effective intervention for lung cancer survivors who have undergone a lobectomy, as these individuals saw significant improvements in cardiorespiratory fitness, muscular strength, and quality of life, although lung cancer patients undergoing a lobectomy consistently demonstrated lower absolute values when compared to patients with all other cancer diagnoses.",Complex Sentence
39394402,"The experimental data revealed that AA inhibited the growth of lung cancer cells (> 50%) and significantly impeded their proliferation by inhibiting COX-2, which results in the downregulation of the phosphotidyl inositol-3 kinase/protein kinase B/mammalian target of rapamycin signaling pathway, leading to an induction of cytotoxic autophagy-mediated apoptosis.",Complex Sentence
32266129,"Altered metabolism in cancer, extending beyond cellular energetic pathways to include amino acid synthesis, lipid biogenesis, and polyamine processing, profoundly affects both cancer cells and their microenvironment, offering new opportunities for anticancer treatment by targeting these metabolic interactions.",Complex Sentence
39171286,"Although early cancer detection plays an important role in improving treatment success and patient prognosis, liquid biopsy became an important tool for cancer diagnosis, as well as for treatment selection and response monitoring.",Complex Sentence
37250150,Epigenetic silencing of PRSS3-V3 via iCpGI methylation (iCpGIm) in BALF and tumor tissues was associated with early clinical progression in patients with lung cancer but not in those with squamous cell carcinoma or inflammatory disease,Complex Sentence
34590039,"Using a web-based platform, this study successfully recruited young lung cancer patients (<40 years) and found that 84% of those with adenocarcinoma harbored targetable genomic alterations, with 85% of stage IV adenocarcinoma patients having such alterations, which is higher than the general lung cancer population and underscores the importance of genomic testing in this demographic",Complex Sentence
32003024,"While no significant increase in lung cancer risk was observed in the overall pooled analysis, the possibility that formaldehyde exposure contributes to lung cancer cannot be ruled out due to higher risk estimates in high-quality and recent studies.",Complex Sentence
34890391,"While data from additional cohorts with longitudinal measurements are needed, people with HIV are a target population for lung cancer screening with low-dose computed tomography.",Complex Sentence
32180372,"Current investigations have identified that circRNAs have a prominent function in the regulation of oncogenic pathways, by regulating gene expression both at transcriptional and post-transcriptional level.",Complex Sentence
38249856,"Because cell therapy, including CAR-T, stem cells, CIKs, and TILs, exerts antitumor activity and can recognize and treat lung cancer, further research is needed to reduce adverse reactions and provide a more effective approach in treating this disease.",Complex Sentence
34636351,"Although the challenges of artificial intelligence applications in lung cancer mainly focus on the interpretability of AI models and limited annotated datasets, recent advances in explainable machine learning, transfer learning, and federated learning might solve these problems.",Complex Sentence
36300343,"AKBA enhances the radiosensitivity of radiation-resistant lung cancer cells by suppressing cell proliferation, inducing apoptosis, and arresting the cell cycle, which is mediated through the maspin/AKT/FOXO1/p21 axis, as demonstrated by the reversal of these effects upon maspin knockdown",Complex Sentence
38720340,An inhibitor of arginase-1 targeting M2 Arg-1(+) MФ both in vitro and in vivo significantly reduced tuberculous fibrosis-induced metastatic potential of lung cancer and decreased autophagy signaling and E-cadherin expression,Complex Sentence
39833595,"While implementing decision aid tools during medical consultations can promote patients' knowledge and awareness about lung cancer and available oncological interventions, not all lung cancer patients appreciate their use, as highlighted by the present qualitative study, which revealed controversial opinions among patients and emphasized the need for personalized interventions tailored to individual preferences.""",Complex Sentence
34489325,"The proportion of lung cancer decedents with comorbidities increased significantly over time, as those with one comorbidity rose by 54.7% and those with two or more comorbidities surged by 294.7%, which highlights the need for oncology teams to collaborate across traditional care boundaries to address the growing complexity of patient needs.",Complex Sentence
37806744,"The updated US Preventive Services Task Force guidelines on lung cancer screening have significantly expanded the population of screening eligible adults, among whom the balance of benefits and harms associated with lung cancer screening vary considerably.",Complex Sentence
38547669,"A visual scoring system using specific window width and level settings on low-dose CT scans for lung cancer screening is highly feasible and effective in identifying osteoporosis, as demonstrated by strong correlations with automated measurements and excellent inter-reader agreement.",Complex Sentence
34487906,"Because PM(2.5) emissions and concentrations have similar distribution patterns, with high values predominant in the east and south due to high population density, lung cancer incidence rates are significantly correlated with PM(2.5) concentration levels, indicating that emission reduction is crucial for lung cancer prevention.",Complex Sentence
34760914,"This study suggests that squamous cell carcinoma histology is associated with worse overall survival compared to adenocarcinoma in stage IA NSCLC patients with tumor sizes ≤20 mm, with segmentectomy showing better outcomes than wedge resection for tumors >10 mm in size.",Complex Sentence
33163182,"Paraneoplastic nephrotic syndrome (PNS), often associated with membranous nephropathy (MN) in elderly patients with solid tumors, can achieve remission through cancer therapy alone, as demonstrated by a rare case of a male patient with lung cancer and secondary MN who achieved remission under radiotherapy without the use of corticosteroids or immunosuppressants.",Complex Sentence
33093915,"miR-421, which is upregulated in A549 lung cancer cells and promotes cell viability by targeting forkhead box O1 (FOXO1) and modulating cell cycle-related proteins, represents a potential therapeutic target for lung cancer treatment, as its inhibition could restore FOXO1 activity and suppress tumor growth",Complex Sentence
38115596,"To analyze the tissue model properties, we established two-dimensional (2D) and 3D coculture tissue models exposed to static and dynamic culture conditions that afforded tissue culture for up to 28 days.",Complex Sentence
35489693,"Although a systematic analysis of the current global drug development landscape has not been conducted, our analysis highlights a robust portfolio of both preclinical and clinical TEs and suggests that lung cancer treatment is going to become even more biomarker-driven.",Complex Sentence
35652099,"Biophysical and biochemical analyses revealed mechanistic enhancement of NK cell actomyosin-mediated contractility, which is associated with nuclear flattening, thus enabling nuclear entry of Eomes associated with enhanced NK cytotoxicity.",Complex Sentence
37777407,"NIVATS lobectomy resulted in shorter induction and operative times, 
and it significantly reduced the length of hospital stay compared to GAVATS lobectomy.",Compound Sentence
34662740,"Leukotriene inhibitor exposure reduced the risk of lung cancer by 17%, 
and falsification testing suggests no evidence of selection bias",Compound Sentence
34741437,"CircCPA4 and TGIF2 were increased in lung cancer tissues and cells,
 and miR-214-3p was decreased in the same samples.",Compound Sentence
33709550,"High BGN expression in the TECs was significantly associated with T factor, and preoperative serum
 BGN level was significantly lower in healthy volunteers 
and less invasive adenocarcinoma than in invasive adenocarcinoma.",Compound Sentence
33376324,"SPIO@PSS/CDDP/HSA-MTX NPs had good biocompatibility and stability in physiological solutions,
 and SPIO@PSS/CDDP/HSA-MTX NPs exhibited a higher temperature increase 
rate than SPIO nanoparticles under irradiation by a radiofrequency (RF) generator",Compound Sentence
33065603,"This review focuses on updated research about the clinical application of traditional Chinese medicine (TCM) as an adjuvant therapy to lung cancer treatment and the mechanisms of TCM effect on lung cancer in vitro and in vivo, and we summarized the recent 5 years of different research progress on clinical applications and antitumor mechanisms of TCM in the treatment of lung cancer.",Compound Sentence
36537055,"High S100A4 (hazard ratio [HR], 2.541; p = 0.006) and FDG accumulation (HR, 3.199; p = 0.038) 
were significant predictors of CIDOL, and AE of IP occurred only in patients with high S100A4/FDG (+)",Compound Sentence
32623224,"Risk of lung cancer increased with higher serum concentrations of chlordane and PCBs,
 and dose-dependent relationships were observed regardless of their chlorination degree or
 receptor binding affinity.",Compound Sentence
35681609,"Lung cancer is the leading cause of cancer-related deaths in North America and other developed countries,
 and one of the reasons lung cancer is at the top of the list is that it is often not diagnosed until the cancer is at an advanced stage",Compound Sentence
34170380,"Lung cancer patients with eosinophilic pleural effusion (EPE) have a significantly better prognosis than those with non-EPE, with a median overall survival of 766 days compared to 252 days, and EPE, ECOG performance status, sex, and serum neutrophil-to-lymphocyte ratio (sNLR) are independent prognostic factors.",Compound Sentence
33879681,"NEAT1 polymorphisms have been linked to lung cancer susceptibility, 
but previous studies have reported inconsistent results.",Compound Sentence
35633015,"Lung cancer is the most common cancer around the world, and it is the leading cause of cancer-related deaths.",Compound Sentence
35343066,"The incidence of lung cancer for WTC RRWV was 39.5 per 100,000 person-years,
 and no significant elevation in incidence was found when compared to the simulated unexposed cohort.",Compound Sentence
33425261,"Lung cancer is the leading cause of cancer-related death worldwide, and this population-based longitudinal study investigates survival rates and the burden of comorbidity before and after being diagnosed with lung cancer in Denmark.",Compound Sentence
36982701,"Immunotherapy has significantly improved cancer survival rates, and cytokine-induced killer
 cell therapy is gaining attention in lung cancer treatment.",Compound Sentence
32742474,"Genetic variants in DNA mismatch repair pathway genes influence the prognosis of platinum-based
 chemotherapy in lung cancer patients, and MSH2 rs4608577 and SAPCD1 rs707937
 may serve as potential clinical biomarkers.",Compound Sentence
32567236,"Exercise training is playing an increasing role in lung cancer care, and there is now substantial evidence that exercise training is safe, feasible, and effective at improving several outcomes in people with lung cancer, especially in those with NSCLC.

",Compound Sentence
36644085,"Non-smokers comprised 40.9% of the study sample, and they were more likely 
than smokers to experience disease onset at a younger age and metastasis",Compound Sentence
38285796,"Pooled data showed that IL-10 rs1800871, rs1800872 and rs1800896 polymorphisms
 were not associated with lung cancer globally, and future well-designed large case-control studies with 
different ethnicities are recommended",Compound Sentence
32862200,"Squalene synthase promotes lung cancer metastasis by increasing osteopontin expression, 
and its inhibition may serve as a therapeutic strategy.",Compound Sentence
39060123,"Patients with EGFR 19del subtypes had different clinicopathological features, and those
 harboring deletions starting from L747 with insertions had inferior outcomes than other subtypes",Compound Sentence
38089985,"Primary or acquired drug resistance will result in ineffective treatment,
 and long noncoding RNAs (lncRNAs) have been found to be critically involved in NSCLC development 
and play a vital role in mediating therapy resistance",Compound Sentence
34992407,"""It plays an important role in the development of lung cancer and induction of ferroptosis in lung cancer
 cells has become a new strategy for anti-lung cancer treatment.",Compound Sentence
35814393,"Our results indicate that hnRNPA1 can affect the metastasis of lung cancer cells by modulating the AS of LAS1L exon 9, highlighting the potential significance of hnRNPA1 in lung cancer metastasis",Compound Sentence
34367638,"Nodular sarcoidosis is a rare form of sarcoidosis, 
and it is difficult to differentiate from malignancy based on radiological findings",Compound Sentence
33528811,"A total of 859 patients were included, and an increase in the percentage
 of women diagnosed over time was observed.",Compound Sentence
34684727,"The proteins of extracellular vesicles (EVs) that originate from tumors reflect the producer cells' proteomes, and they can be detected in biological fluids",Compound Sentence
36070942,"GGO developed after the lung cancer diagnosis, deteriorated after the initiation of osimertinib, 
and incompletely decreased after interrupting osimertinib;
therefore, flexible bronchoscopy was performed.",Compound Sentence
36964680,"Multilevel models revealed significant main effects of monthly proactive coping on monthly scan-related anxiety, as well as daily anticipatory coping on daily scan-related anxiety.",Compound Sentence
38460928,"Microbiomes in the lung, gut, and oral cavity are linked to lung cancer progression, 
and microbial biomarkers may serve as noninvasive tools for early detection.",Compound Sentence
36605223,"Lung cancer is one of the most common cancers and has the highest risk of mortality in both genders,
 and chemotherapy and immunotherapy have become the cornerstone for the treatment of lung cancer.",Compound Sentence
36918390,"Most lung cancer is diagnosed at late, incurable stages, 
and the five-year survival is a fraction of that for other common cancers
, including breast, prostate, melanoma and colorectal cancer.",Compound Sentence
37228574,"CCB was not associated with lung cancer in patients with hypertension, 
but dyslipidemia and family history of lung cancer were independently associated with lung cancer in this setting.",Compound Sentence
34164343,"RuvBL1 was identified as a repressor of c-Jun/AP-1 activity that contributes to 
TRAIL resistance in lung cancer cells, and silencing RuvBL1 effectively sensitized resistant cells to 
TRAIL-induced apoptosis",Compound Sentence
34639167,"Targeting of the TME has received increasing attention in recent years, 
and natural products have historically made substantial contributions to pharmacotherapy, 
especially for cancer",Compound Sentence
37969683,"The median overall survival was 12 months in patients treated with curative intent, and there was no significant difference between radical surgery and radiotherapy.",Compound Sentence
32353597,"The lungs are the target of the primary infection, 
and patients with lung cancer seem to have a poor prognosis.",Compound Sentence
36102787,"ELANE promotes the polarization of M2 macrophages by down-regulating PTEN, and this
 process enhances lung cancer cell proliferation, migration, invasion, and tumor growth.",Compound Sentence
32565929,"The selected molecular factors exhibit the potential to be used in the treatment of patients with specific problematic lung cancer, 
and may contribute to setting recommendations for the diagnosis, prognosis and treatment of individual patients with lung cancer.",Compound Sentence
36099512,"miRNA320a acts as a tumor suppressor in lung cancer, and its downregulation in 
advanced stages leads to increased PDL1 expression and cancer progression.",Compound Sentence
34304840,"Small cell lung cancer is an aggressive form of cancer, and new research and advances in
 medical imaging have challenged the previous notion that surgery was rarely considered.",Compound Sentence
36850744,"Screening of lung nodules is crucial for early diagnosis, 
and optimization-based deep learning models can enhance detection accuracy",Compound Sentence
35494076,"CTSV is overexpressed in lung cancer and correlates with poor prognosis, 
but only its glycosylated form is secreted and promotes metastasis.",Compound Sentence
33123538,"Besides, PAQR3 inhibited proliferation, clone formation, and cycle transition in NSCLC cells, but induced apoptosis.",Compound Sentence
34504549,"β-elemene inhibited the migration and invasion of A549 and H1299 cells,
 while the motility-associated genes were de-regulated following exposure to β-elemene.",Compound Sentence
35488967,"Shared decision-making (SDM) helps patients evaluate the risks and benefits of screening,
 but many patients lack sufficient knowledge about lung cancer screening despite low decisional conflict.",Compound Sentence
39001715,"There is an urgent need to develop an effective lung cancer prediction model to enable early diagnosis
, and the proposed dendritic neural model (DNM) demonstrates high accuracy and precision in prediction.",Compound Sentence
36305146,"Wogonin can repress lung cancer cell growth, migration, and invasion, 
and it promotes cell apoptosis by inhibiting MMP1 expression and 
modulating the PI3K/AKT signaling pathway.",Compound Sentence
36230705,"Pulmonary artery reconstruction enables radical resection when lobectomy alone is unfeasible,
 and proper anticoagulation management is crucial for surgical success",Compound Sentence
39078571,"High levels of social isolation are linked to low social well-being, and patients who report high
 coping efficacy experience increased well-being before their CT scans.",Compound Sentence
38067398,"Serum levels of IL-6, IL-1β, and IFN-γ were significantly associated with lung cancer risk in the 
Korean population, and these proinflammatory cytokines may serve as effective biomarkers for
 identifying high-risk individuals",Compound Sentence
38417278,"The overall observed 90-day mortality rate was 3.2% with 2.6% for the
 best-performing quartile versus 3.9% for the worst-performing quartile, and patients treated at 
hospitals with the best historical mortality rate had significantly better 5-year survival",Compound Sentence
36353559,"The accuracy rate of the diagnostic model for differentiating LM from LC was higher than that of subjective diagnosis, which suggests its superior predictive ability",Compound Sentence
38424624,"IL-6 secreted by TAMs promotes lung cancer progression and metastasis
, and it activates the EMT pathway in vivo and in vitro",Compound Sentence
39578897,"Patients with lung cancer undergoing chemotherapy experience complex and diverse symptoms,
 and five symptom clusters were extracted based on mild, moderate, and severe symptoms.",Compound Sentence
38842204,"Overexpressed PURPL promoted M2 macrophage polarization and suppressed ferroptosis,
 and additionally, PURPL maintained the mRNA stability of 
cystine glutamate reverse transporter (xCT) via regulating RBM4",Compound Sentence
38735142,"Hederagenin (Hed) induces lung cancer cell death by promoting CHAC1 expression, 
and functional rescue experiments confirm that CHAC1 is essential for Hed’s anti-cancer effects",Compound Sentence
37689446,"Lower alpha diversity of the oral microbiome may be associated with a greater risk of lung cancer,
 but no strong evidence links specific oral microbial taxa or periodontal pathogens to the disease.",Compound Sentence
39824510,"Serum autoantibody-positive patients with early-stage lung cancer had a longer
 postoperative progression period, and the in vitro experiments indicated that serum autoantibodies
 can mediate immune responses and enhance anti-tumour effects",Compound Sentence
36511262,"The relative risk of silicosis was in the range of 1 to 14 per 1000 people, and the risk of lung cancer in 
workers ranged from 13 to 137 per 1000 people",Compound Sentence
32595734,"Five compounds of HCT, quercetin, luteolin, kaempferol, beta-sitosterol, and baicalein were 
recognized as key compounds of HCT on lung cancer, and the gene enrichment analysis implied 
that HCT probably benefitted patients with lung cancer by
 modulating the MAPK and PI3K-Akt pathways.",Compound Sentence
34887097,"Lung cancer in the native lung occurred in 7% of COPD patients undergoing single lung transplantation, 
and its presence was associated with significantly lower long-term survival",Compound Sentence
34408724,"Lung cancer disrupts brain functional networks, and chemotherapy further 
alters prefrontal-subcortical connectivity in patients",Compound Sentence
36697004,"Our results suggest that COVID-19 negatively affected the whole lung cancer pathway in our area, 
and 'stage shift' might not be ideal to assess the impact of COVID-19 in income-deprived areas.",Compound Sentence
32597346,"Retrospectively-reported trauma was linked with poorer HRQOL in lung cancer patients, 
and interventions aimed at improving HRQOL should consider the possible role of trauma history",Compound Sentence
35578316,"The expression of SCARA3 was abnormally reduced in the TCGA database, 
and its overexpression reduced the proliferation of lung cancer.",Compound Sentence
37190743,"Clinicians should determine the appropriate modality of the diagnostic procedure considering individual patient characteristics,
 and they should also make efforts to obtain a sufficient tissue sample for pathological diagnosis and biomarker analysis.",Compound Sentence
39705424,"Lung cancer is one of the most threatening malignancies among the different kinds of tumors,
 and the incidence and mortality rate are increasing especially in male.",Compound Sentence
33732650,"The occurrence of irAEs in lung cancer patients treated with ICIs was significantly associated with 
higher objective response rates and improved overall and progression-free survival, 
and subgroup analysis revealed that dermatological, endocrine, and gastrointestinal irAEs were 
predictive of enhanced ICIs efficacy",Compound Sentence
38225788,"The combination of both PCDHGA12 methylation test and CDO1 methylation test showed a sensitivity of 77.6% and a specificity of 90.3%, and the sensitivity of lung cancer diagnosis was increased by combining both tests",Compound Sentence
37190212,"Lung cancer detection and monitoring are hampered by a lack of sensitive biomarkers, 
and recent developments have established liquid biopsies as promising non-invasive methods for 
detecting these biomarkers.",Compound Sentence
37990399,"Low-dose computed tomography screening can increase the detection of non-small-cell lung cancer
 (NSCLC), and ultrasensitive methods are used to detect cell-free DNA (cfDNA) 5-hydroxymethylcytosine
 (5hmC) in plasma to improve diagnostic accuracy.",Compound Sentence
32757486,"The aim of this study was to evaluate the association between BTLA gene polymorphisms and the risk of lung cancer in the Tunisian population, and the rs1982809 SNP was significantly associated with an increased risk of lung cancer compared with controls in codominant and dominant models.",Compound Sentence
39086724,"Chest CT revealed two right lower lobe masses, and a moderate-sized left pleural effusion.",Compound Sentence
37589901,"FAPI may be an alternative to [(18)F]FDG in the assessment of primary lung cancer tumors, 
lymph node metastases, and distant metastases, and it plays a very important role in treatment",Compound Sentence
34707991,"Enhanced CT-based radiomics signature achieved high predictive performance for lung cancer
 Ki-67 expression with AUCs of 0.88 in the training group and 0.86 in the validation group, 
and the nomogram combining radiomics features with clinical risk factors demonstrated robust accuracy 
with an AUC of 0.87 in the validation group",Compound Sentence
39556888,"The immune-based prognostic model is a promising tool to reflect systemic inflammatory status,
 and it can predict clinical prognosis for anti-angiogenic treatment in patients with stage III-IV lung cancer.",Compound Sentence
39934444,"Our evolving knowledge of BM pathophysiology is changing prognostication and treatment paradigms,
and advancements in therapy options are further shaping patient management.",Compound Sentence
34235048,"Prior ENDS use was significantly associated with willingness to try switching to ENDS in the future
, and the most common reasons for considering the switch included smoking cessation and harm reduction.",Compound Sentence
33948744,"Thermal ablation has become a global treatment option for early-stage NSCLC patients with comorbidities,
 and studies suggest its outcomes are comparable to stereotactic radiotherapy in survival rates.",Compound Sentence
33200529,"Lung cancer screening has been implemented in the US and South Korea, and it is under consideration by other communities.",Compound Sentence
38689887,"More than one third of the test results were ≥ 4.0 pCi/L, the action level recommended by the EPA, yet only 1 in 5 participants reported knowing that radon caused lung cancer, highlighting the need for increased radon awareness among smokers.",Compound Sentence
33148544,"Lung cancer remains the leading cause of cancer-related deaths worldwide, 
but its incidence ranks second after breast cancer in women and prostate cancer in men.",Compound Sentence
33057857,"The healing effects of herbal active compounds on lung cancer have been recently investigated,
 and docking studies play a crucial role in identifying potent active substances for potential drug development.",Compound Sentence
33763726,"The modified PCOQ showed evidence of construct validity, and patients considered low
 symptom severity to be acceptable irrespective of the symptom.",Compound Sentence
32840189,"Fatigue, which is one of the most common adverse effects of lung cancer, was significantly affected by physical therapies (standard mean difference [SMD] = -1.26, 95% confidence intervals [CI]: -2.05 to -0.47, p = .002), but not by exercise interventions or education and psychological interventions.",Compound Sentence
37955065,"Image processing techniques using deep learning have played a crucial role in
 lung cancer diagnosis, and they have significantly minimized manual control in CT image analysis.",Compound Sentence
33756357,"The incidence of lung cancer was acquired through self-report and medical record follow-up, 
and a multivariable logistic model adjusted for confounders was used to estimate odds ratios (ORs) and 95% confidence intervals (CIs) of dietary carbohydrates,
 fiber, whole grains, glycemic index (GI) and glycemic load (GL) for lung cancer.",Compound Sentence
33829674,"Regions such as North America have relatively high crude incidence rates
 but low MIR values, and countries with lower crude incidence rates spent less on healthcare.",Compound Sentence
36326913,"The incidence of AKI was 10.2%, and the incidence of ICI-AKI was 4.6%, whereas severe AKI was associated with higher risk of mortality.",Compound Sentence
34594133,"GSDME may serve as an important prognostic indicator of survival in lung cancer patients, 
but the prognostic significance of HMGB1 and CD8(+) T cell abundance remains uncertain",Compound Sentence
34954091,"The clinical symptoms and the quality of life were significantly improved after PDT (P<0.05), and the mean RFS was 8.9 ± 1.9 months.",Compound Sentence
36428798,"We included 29 studies involving 21,257 patients with lung cancer and SARS-CoV-2 infection, and analysis data showed that mortality in patients with lung cancer was significantly higher than that in patients without cancer or with other malignancies.",Compound Sentence
33717548,"The proportion of segmentectomies increased from 8.6% in the first year to 25.0% in the 
second year, and the use of the robot for segmentectomies rose from 16.7% to 88.2% 
between these periods",Compound Sentence
35070672,"Iris metastasis from systemic cancer is uncommon, accounting for only 8% of uveal metastases,
 and our case of iris metastasis from small-cell lung cancer demonstrated 
tumor shrinkage after systemic treatment with no recurrence at a 4-month follow-up.",Compound Sentence
34800099,"The use of a handheld fan significantly reduced dyspnea and improved quality of life in
 lung cancer patients, and it also positively impacted respiration rate, oxygen saturation, and heart rate",Compound Sentence
33421335,"Pseudoaneurysm of the thoracic aorta (PTA) may present on imaging findings that resemble
 lung cancer, and PTA should be included among the differential diagnoses of mediastinal tumor",Compound Sentence
33769444,"The expression of four microRNAs was significantly higher in lung cancer tissues than in normal tissues,
 and their analysis in liquid-based cytology samples may aid in lung cancer diagnosis.",Compound Sentence
35387560,"USP18 knock-down reduced lung cancer growth, wound-healing, migration, 
and invasion versus controls (P < .001), and markedly decreased murine
 lung cancer metastases (P < .001)",Compound Sentence
39755022,"NSE(corrected) increased the specificity for SCLC screening from 85.71% to 97.09%, 
and it reduced the false positive rate from 14.26% to 2.91%.",Compound Sentence
37020412,"A patient with advanced lung cancer experienced hyperprogressive disease after 
two cycles of third-line sintilimab treatment, and rescue anlotinib treatment achieved a 
partial response that relieved his clinical signs and symptoms",Compound Sentence
38161787,"TB is often misdiagnosed as malignancy, but studies have highlighted the differences
 between TB and lung cancer.",Compound Sentence
38537068,"Fear of cancer recurrence was found to impact quality of life, 
and family resilience influenced coping behaviors.",Compound Sentence
36804853,"HIF1α and HIF2α regulate non-small-cell lung cancer dedifferentiation through Sox2 and Oct4 under hypoxic conditions, and after knocking out HIF1α and HIF2α, the expression of Sox2, Oct4, CD133, and CD44 decreased significantly.",Compound Sentence
34792143,"We report a case of localized malignant pleural mesothelioma (LMPM) of the interlobar fissure mimicking
 lung cancer, and the final histology revealed an LMPM epithelioid like after a left lower lobectomy",Compound Sentence
34221992,"Pembrolizumab has shown superior survival benefits
, but it may lead to severe immune-related adverse events.",Compound Sentence
37203601,"Process mining is a relatively new method that connects data science and process modelling, 
and in the past years a series of applications with healthcare production data have been 
presented in process discovery, conformance check, and system enhancement.",Compound Sentence
37928493,"Hub genes such as CCND1, EGFR, and TP53 serve as potential diagnostic biomarkers,
 while pathway analysis further highlights their role in lung cancer treatment.",Compound Sentence
32528971,"The clinical variability of lung cancer influences treatment decisions, 
and distinguishing neuroendocrine from non-neuroendocrine tumors remains a critical challenge.",Compound Sentence
36997586,"Lung cancer gene detection often involves long durations, high costs, and invasive sampling,
 but a reliable and non-invasive prognostic method has been proposed to address these challenges.",Compound Sentence
40025230,"STK31 exhibited elevated expression levels in lung cancer tissues compared to adjacent tissues,
 and it was significantly correlated with poor prognosis in lung cancer patients.",Compound Sentence
33310036,"FGF21 level was increased in lung cancer tissue samples and cell lines at both mRNA and
 protein levels, and overexpressing FGF21 promoted cell growth and migration significantly.",Compound Sentence
36900386,"Early detection is crucial for improving lung cancer outcomes, and the success of recent low-dose 
computed tomography screening programs highlights the need to address barriers to
 broader implementation",Compound Sentence
37805623,"Cathepsins play a role in tumorigenesis, and Mendelian randomization analyses suggest that 
elevated cathepsin H levels may increase the risk of lung cancer.",Compound Sentence
38169973,"Lung cancer is an extremely aggressive and highly prevalent disease worldwide, and it is one of the leading causes of cancer death.",Compound Sentence
37577306,"It is possible to accurately predict the risk of metastasis in NSCLC patients based on
 radiomic features, and the results demonstrate the potential use of features extracted from 
cancer imaging in predicting the risk of metastasis",Compound Sentence
35691714,"Convolutional neural networks have significantly improved lung cancer diagnosis accuracy, and their
 application in histology classification could aid in targeted treatment decisions.",Compound Sentence
35884463,"This paper describes where and how sex matters in today's management of lung cancer,
 and we conclude that sex is an important 
but often overlooked factor in modern-day thoracic oncology practice",Compound Sentence
32568874,"The lung cancer mortality decline was associated with the anti-tobacco campaign
 initiated by the WHO in the last 15 to 20 years, and comprehensive tobacco control
 remained the major and most successful lifestyle modification measure.",Compound Sentence
39941723,"Targeted therapies have changed the treatment landscape of non-small-cell lung cancer, 
and newer advances in common and novel oncogenic drivers continue to occur at vigorous speed.
",Compound Sentence
35116621,"Lung cancer is one of the highest incidence cancer types worldwide, and it has the lowest 5-year survival rate of all cancer types.",Compound Sentence
36773435,"Exhaled breath condensate offers a non-invasive way to sample secreted microRNAs,
 and it could be used as a diagnostic tool for lung cancer.",Compound Sentence
38618045,"The study used in-depth, semi-structured interviews with GPs and specialists to derive key codes, which were then grouped into themes regarding participant experiences, and it identified barriers such as lack of clinical time and resistance to changing referral patterns",Compound Sentence
37405520,"Lung cancer remains a major public health problem despite advancements in detection and treatment,
 and targeting surface receptors and proteases offers a promising therapeutic approach.",Compound Sentence
34012809,"Modern imaging techniques enhance radiotherapy target volume delineation,
 and recent trials help refine standards for lung cancer treatment",Compound Sentence
36559280,"Lung cancer is a prevalent malignancy with high morbidity and mortality, 
and the STAT3 pathway plays a crucial role in tumor progression, 
making it a promising therapeutic target.",Compound Sentence
34651448,"MGMT gene promoter methylation is more prevalent in plasma and bronchoalveolar lavage fluid of lung
 cancer patients, and its high specificity makes it a potential confirmation test for lung cancer diagnosis.",Compound Sentence
35543082,"The performance status and metastatic status significantly affected overall survival, and the body fat mass 
ratio was identified as an important prognostic factor in advanced non-small-cell lung cancer.",Compound Sentence
34008478,"We identified significant DNA methylation markers associated with lung cancer risk, 
and future studies will need to examine their causal relationship with the disease.",Compound Sentence
33738000,Lung cancer patients are believed at higher risk of COVID-19 due to immunosuppression and should be protected by vaccination with priority.,Compound Sentence
33743383,"The untargeted analysis detected 1008 named and 316 unnamed metabolites among all study participants
, and metabolites that were significantly associated with SPLC included 5-methylthioadenosine 
and phenylacetylglutamine, each exhibiting approximately 1.5-fold increased levels
 among SPLC cases versus IPLC controls.",Compound Sentence
34490104,"Major issues of ICI immunotherapy in lung cancer comprise the use of immune biomarkers,
 selection of ICI agents, combination therapies, and treatment sequencing, and the objective of this 
review is to present an overview of the current status of ICI immunotherapy in lung cancer.",Compound Sentence
37315930,"The patient responded well to icotinib treatment, and his vision improved within days, which demonstrated the drug’s effectiveness in treating choroidal metastases.",Compound Sentence
37958404,"The success of PD-1/PD-L1-targeted therapy in lung cancer has generated enthusiasm for additional immunotherapies, and CD47 blockade is considered a promising next-generation treatment, since it targets immune checkpoints that regulate tumor immunity.",Compound Sentence
35169425,"It often shows shadows on the lung that make it difficult to distinguish it from lung cancer,
 and clinicians need to consider the possibility of pulmonary cryptococcosis and
 the importance of lung biopsy when treating a patient with isolated pulmonary nodules",Compound Sentence
37671552,"Immune checkpoint inhibitors (ICIs) have demonstrated significant survival benefits in many cancers, particularly in early-stage NSCLC, whereas challenges remain in choosing between neoadjuvant and adjuvant use.",Compound Sentence
35345567,"Bronchoesophageal fistula (BEF) is a rare condition caused by a fistulous connection between the bronchus and the esophagus,
 and BEF can be acquired or congenital.",Compound Sentence
37345008,"Lung cancer, including both small cell lung cancer (SCLC) and non-small cell lung cancer (NSCLC),
 remains one of the most aggressive types of cancer,
 and the prognosis for individuals diagnosed with this neoplasm has, for the most part, been insufficient.",Compound Sentence
35075788,"Discovering novel biomarkers for lung cancer is crucial for developing cost-effective diagnostic
 technologies, and our study suggests that skin autofluorescence (AF) could serve as a promising biomarker.",Compound Sentence
32801856,"LINC00520 was highly expressed in lung cancer tissues and associated with advanced
 disease stages and poor survival, and knockdown of LINC00520 inhibited cancer cell proliferation,
 invasion, and migration by negatively regulating miR-3175.",Compound Sentence
